timestamp,exchange_with_lower_price,lower_price,lower_latency(ms),exchange_with_higher_price,higher_price,higher_latency(ms),max_price_diff(%),duration(ms),ticker
2025-04-25T14:32:36.117Z,bybit,2.603 $,3220 ms,binance,2.604 $,3452 ms,0.038417 %,194 ms,NEARUSDT
2025-04-25T14:32:36.309Z,bybit,0.7144 $,2717 ms,binance,0.7144 $,3660 ms,0.000000 %,897 ms,ADAUSDT
2025-04-25T14:32:36.346Z,bybit,0.2837 $,3561 ms,binance,0.2841 $,3694 ms,0.140994 %,83 ms,XLMUSDT
2025-04-25T14:32:35.727Z,binance,0.2434 $,3701 ms,bybit,0.2435 $,3020 ms,0.041085 %,-636 ms,TRXUSDT
2025-04-25T14:32:36.447Z,bybit,5.235 $,3561 ms,binance,5.241 $,3781 ms,0.114613 %,184 ms,ICPUSDT
2025-04-25T14:32:36.960Z,bybit,0.3045 $,4047 ms,binance,0.3046 $,4308 ms,0.032841 %,209 ms,SANDUSDT
2025-04-25T14:32:37.116Z,bybit,2.603 $,4227 ms,binance,2.604 $,4451 ms,0.038417 %,192 ms,NEARUSDT
2025-04-25T14:32:37.310Z,bybit,0.7145 $,3883 ms,binance,0.7145 $,4664 ms,0.000000 %,731 ms,ADAUSDT
2025-04-25T14:32:37.347Z,bybit,0.2837 $,4565 ms,binance,0.2841 $,4694 ms,0.140994 %,84 ms,XLMUSDT
2025-04-25T14:32:36.726Z,binance,0.2434 $,4698 ms,bybit,0.2435 $,4029 ms,0.041085 %,-636 ms,TRXUSDT
2025-04-25T14:32:37.447Z,bybit,5.235 $,4564 ms,binance,5.241 $,4783 ms,0.114613 %,184 ms,ICPUSDT
2025-04-25T14:32:37.412Z,binance,3.203 $,5080 ms,bybit,3.204 $,4708 ms,0.031221 %,-320 ms,TONUSDT
2025-04-25T14:32:38.116Z,bybit,2.603 $,5228 ms,binance,2.604 $,5452 ms,0.038417 %,192 ms,NEARUSDT
2025-04-25T14:32:37.578Z,bybit,0.18152 $,5560 ms,binance,0.18152 $,5584 ms,0.000000 %,-685 ms,DOGEUSDT
2025-04-25T14:32:38.311Z,bybit,0.7145 $,4707 ms,binance,0.7145 $,5661 ms,0.000000 %,899 ms,ADAUSDT
2025-04-25T14:32:37.557Z,bybit,0.2293 $,5046 ms,binance,0.2294 $,5688 ms,0.043611 %,-193 ms,ALGOUSDT
2025-04-25T14:32:38.362Z,bybit,0.2435 $,5228 ms,binance,0.2435 $,5701 ms,0.000000 %,436 ms,TRXUSDT
2025-04-25T14:32:38.447Z,bybit,5.235 $,5560 ms,binance,5.241 $,5781 ms,0.114613 %,184 ms,ICPUSDT
2025-04-25T14:32:38.482Z,bybit,0.01295 $,5658 ms,binance,0.01296 $,5835 ms,0.077220 %,122 ms,ZILUSDT
2025-04-25T14:32:38.557Z,bybit,0.2293 $,6046 ms,binance,0.2294 $,5915 ms,0.043611 %,-194 ms,ALGOUSDT
2025-04-25T14:32:38.960Z,bybit,0.3045 $,6048 ms,binance,0.3046 $,6315 ms,0.032841 %,209 ms,SANDUSDT
2025-04-25T14:32:38.347Z,bybit,0.2837 $,5559 ms,binance,0.2842 $,6358 ms,0.176243 %,84 ms,XLMUSDT
2025-04-25T14:32:39.116Z,bybit,2.603 $,6227 ms,binance,2.604 $,6455 ms,0.038417 %,192 ms,NEARUSDT
2025-04-25T14:32:39.346Z,bybit,0.2837 $,6562 ms,binance,0.2842 $,6693 ms,0.176243 %,84 ms,XLMUSDT
2025-04-25T14:32:39.452Z,bybit,5.235 $,6562 ms,binance,5.241 $,6786 ms,0.114613 %,189 ms,ICPUSDT
2025-04-25T14:32:39.482Z,bybit,0.01295 $,6662 ms,binance,0.01296 $,6836 ms,0.077220 %,122 ms,ZILUSDT
2025-04-25T14:32:39.557Z,bybit,0.2293 $,7045 ms,binance,0.2294 $,6903 ms,0.043611 %,-194 ms,ALGOUSDT
2025-04-25T14:32:39.309Z,bybit,0.7145 $,6707 ms,binance,0.7146 $,7291 ms,0.013996 %,-103 ms,ADAUSDT
